,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
01_ai_Yi_34B_one_shot,3683,1430,3742,652,348,3480,162,19,33,3617,3693,60,3742,3675,3722,8,76,58,11,3701,3657,3629,3738,688,14,3743,47,36,3374,372
01_ai_Yi_34B_zero_shot,3823,139,1,3873,77,62,26,144,66,35,151,723,3909,38,719,41,93,3868,3737,3898,49,166,350,39,41,1252,379,150,3513,94
HuggingFaceTB_SmolLM3_3B_one_shot,1143,2847,17,2,2,1494,647,3805,414,2,8,1128,10237,173,9760,15,534,988,3000,695,78,1210,883,11,1406,460,71,420,10206,756
HuggingFaceTB_SmolLM3_3B_zero_shot,590,1073,694,758,10239,793,1122,550,793,707,870,510,701,1318,1455,881,578,1432,2299,2598,740,613,126,1623,1565,864,150,1341,522,241
LGAI_EXAONE_EXAONE_4.0.1_32B_one_shot,2879,10240,10240,10240,4682,9990,4728,3636,1973,1562,2702,2248,10238,10240,6800,10240,10240,10240,10240,7623,1030,3601,10237,6405,2389,772,2447,5854,10238,10240
LGAI_EXAONE_EXAONE_4.0.1_32B_zero_shot,1603,10238,10238,544,5602,5434,1482,2351,1962,650,10238,1518,3368,10240,6776,13,891,8142,7580,1326,1384,2976,10238,10235,10,10238,10235,6108,12,2697
LLM360_K2_Think_one_shot,2472,10240,10240,10240,10240,7582,10240,3100,5998,2352,10240,4723,4493,10240,3116,4521,10240,10240,8109,7106,10240,10240,7430,3709,4013,10240,4526,10239,10240,10240
LLM360_K2_Think_zero_shot,2480,12,10240,10240,6582,4925,10240,5449,6211,1561,10240,4799,3377,10240,5855,3874,12,10240,10240,8932,10240,12,7674,5059,3363,12,5023,10239,10240,12
Qwen_QwQ_32B_one_shot,3440,10239,10239,10240,10239,10224,10239,8593,10232,10231,9994,10211,10172,10236,10240,10234,10233,10240,10239,10232,10239,10240,10232,5380,9876,10239,4409,7378,10240,10240
Qwen_QwQ_32B_zero_shot,10142,10240,10240,10240,9931,6363,10238,10238,6602,3945,10239,10233,9538,10238,8556,4041,8066,10240,6155,10234,10240,10240,9738,10237,10190,10239,10088,10240,7,10240
Qwen_Qwen1.5_32B_one_shot,832,561,982,1994,9,1463,2137,293,434,635,540,10239,4,3473,799,2461,513,1022,905,2210,473,435,1166,529,760,270,264,529,10239,10240
Qwen_Qwen1.5_32B_zero_shot,10167,707,564,5056,539,1833,340,470,349,541,224,670,10239,942,10239,1032,333,1808,490,1454,1633,366,434,797,10239,881,536,654,209,456
Qwen_Qwen2.5_0.5B_Instruct_one_shot,798,10240,534,665,2139,1422,1279,10240,10240,720,914,556,803,743,691,1400,776,802,723,578,921,344,4377,784,467,641,346,903,1004,780
Qwen_Qwen2.5_0.5B_Instruct_zero_shot,1365,968,306,1237,10240,966,10240,543,814,595,753,653,828,469,216,279,1143,1464,1714,537,689,418,678,358,1501,440,440,691,846,729
Qwen_Qwen2.5_1.5B_Instruct_one_shot,862,1037,721,813,10240,1168,971,1812,503,1121,853,10240,1351,664,868,1208,852,494,1263,965,1781,584,996,461,1504,1162,10181,10240,715,494
Qwen_Qwen2.5_1.5B_Instruct_zero_shot,1022,576,509,1207,10239,920,1196,689,10239,555,832,845,853,1227,1053,266,625,1341,1313,1057,953,508,1435,1938,922,515,746,992,770,341
Qwen_Qwen2.5_14B_Instruct_one_shot,1043,10237,512,939,2021,1111,1029,10235,707,725,862,818,1054,795,1087,980,10219,687,1566,919,10231,787,918,754,989,556,789,1516,4286,955
